Age,Color,Sex,Weight,Housemanners,LeftUnattended,EarCleaning,AttendsClasses,BehavesWellClass,AttendsHomeSwitches,Status
12,2,1,55,5,5,5,5,5,5,0
6,2,1,45,5,5,5,5,5,5,0
3,2,0,24.6,4,4,4,5,4,3,0
12,2,0,65,5,5,4,5,5,5,0
7,2,0,51,4,4,4,5,5,5,0
9,2,0,60,4,4,5,5,4,4,0
4,2,0,33,2,2,3,5,3,3,0
4,2,1,26,3,3,2,3,3,4,0
6,2,1,40,5,3,3,5,3,5,0
4,2,1,27,2,2,3,4,4,1,0
9,2,1,55,4,4,4,5,4,2,0
5,2,0,28,3,3,5,3,4,1,0
13,2,0,75,4,3,5,5,3,5,0
4,5,1,35,4,3,5,5,4,5,0
13,5,1,70,5,4,5,5,5,5,0
8,5,1,65,5,4,4,3,4,5,0
4,5,0,34.3,4,4,4,5,4,5,0
8,5,0,61,4,4,5,5,4,5,0
13,5,0,68,4,4,4,5,4,5,0
8,5,1,54,5,3,5,5,4,3,0
13,5,1,55,5,5,5,5,4,5,0
4,5,1,35,5,3,5,5,4,1,0
8,5,1,35.5,3,5,4,5,4,3,0
4,5,1,31.3,4,5,4,5,4,3,0
13,5,1,52.4,4,4,5,5,5,5,0
8,5,1,52,5,3,3,5,5,5,0
13,5,1,54,5,5,5,5,5,5,0
4,5,1,30,3,3,3,5,5,1,0
4,5,0,35,5,4,4,5,4,5,0
8,5,0,59,4,4,4,4,4,5,0
13,5,0,69,4,5,5,5,5,5,0
5,5,0,46,2,2,0,4,4,1,0
13,5,0,60,4,4,5,5,5,5,0
4,5,0,26.2,3,3,5,5,5,1,0
13,5,0,60,5,4,5,5,5,5,0
8,5,0,58,4,3,5,5,5,5,0
9,5,0,55,5,5,5,3,4,5,0
4,5,0,25,4,4,4,5,5,4,0
13,5,0,60,5,5,4,5,3,5,0
7,5,0,57,3,3,4,5,4,4,0
4,5,0,40,2,1,4,5,4,3,0
12,5,0,74,3,3,5,5,4,4,0
12,1,0,68,4,4,5,5,5,5,0
4,1,0,30,3,3,4,4,2,5,0
8,1,0,46,5,4,5,5,5,1,0
5,1,0,45,5,3,5,5,5,1,0
12,1,0,74,5,5,5,5,3,5,0
5,1,0,39,4,4,4,5,3,3,0
8,1,0,55.5,4,4,5,4,2,3,0
4,1,1,32,2,2,4,4,4,3,0
12,1,1,61,4,3,5,5,4,1,0
8,1,1,51,4,3,5,5,4,3,0
13,1,1,62.4,5,4,5,5,5,5,0
5,1,0,48,3,2,3,5,2,0,0
8,1,0,58,4,4,4,4,3,1,0
13,1,0,60,4,4,5,5,3,1,0
5,1,1,40.8,4,4,4,5,4,4,0
12,1,1,52,5,5,4,5,5,5,0
5,1,1,37,3,3,1,4,4,3,0
4,1,1,32,3,5,3,5,3,3,0
13,1,1,42,4,5,5,5,5,5,0
7,1,1,45,5,5,5,5,4,5,0
8,1,0,58,4,4,4,5,4,1,0
12,1,0,60,4,5,5,5,4,5,0
4,1,0,30.4,4,3,4,4,4,0,0
12,1,1,52,5,5,5,4,5,5,0
4,1,1,34.3,5,5,5,5,4,3,0
8,1,1,50,4,5,5,5,4,5,0
4,1,0,44,2,3,4,4,3,3,0
7,1,0,56,4,4,5,5,4,5,0
13,5,1,65,4,4,4,5,4,3,0
4,5,1,41,4,1,4,5,3,1,0
7,5,1,0,3,4,4,5,3,4,0
12,5,1,62,4,4,5,5,4,4,0
7,5,1,53,4,2,4,5,3,3,0
13,5,1,19.5,4,4,0,0,0,0,0
8,5,1,54,3,3,3,5,4,1,0
4,5,1,27.5,4,5,5,5,4,5,0
12,5,1,57,4,4,4,5,5,5,0
4,5,1,28,4,2,4,4,4,3,0
5,5,0,54,4,5,3,4,4,3,0
